Filename,Age,Ethnicity,Eyes Color,Facial Hair,Gender,Glasses,Hair Color,Hair Covered,Hair Style,Smile,Visible Forehead
6070900357_fe60b02781_6204_71606984@N00_1.png,early_adulthood,white,other,light_beard,male,sunglasses,brown,no,long_curly,yes,yes
5049676620_7d4ab6b5d4_4150_39742947@N08_7.png,middle_aged,white,brown,no,female,no,brown,no,long_curly,yes,yes
6070905363_c663b70648_6068_71606984@N00_2.png,adult,white,brown,no,female,no,red,no,short_straight,yes,yes
5188586467_2777fd20b8_4148_50517348@N05_5.png,early_adulthood,white,other,no,male,no,black,no,short_straight,yes,yes
4814737365_70d6a52eea_4096_47645276@N07_2.png,kid,white,brown,no,female,no,blonde,no,short_straight,yes,yes
4778181660_f067632254_4079_13960742@N04_2.png,early_adulthood,white,brown,light_goatee,male,no,red,no,bald,no,yes
7256572952_128927bb64_7215_40279823@N00_1.png,early_adulthood,white,other,no,male,no,brown,no,short_straight,no,yes
5185271868_6790d59741_1276_61146724@N00_1.png,middle_aged,white,other,no,male,no,black,cap,other,no,yes
6070914769_f1c13eaef2_6202_71606984@N00_1.png,early_adulthood,white,blue,no,female,no,brown,no,short_straight,no,yes
4697765197_b445124245_4044_43475213@N07_2.png,early_adulthood,white,brown,no,male,no,brown,no,bald,no,yes
4733801499_0b23feda5a_1416_34555729@N07_4.png,teenager,white,brown,no,male,no,black,no,short_straight,no,yes
4826366231_f7c39c6083_4101_8074605@N08_2.png,elderly,white,blue,thick_beard,male,eyeglasses,white,cap,short_straight,no,yes
6070907063_5e04cb4451_6089_71606984@N00_1.png,middle_aged,white,blue,no,female,no,brown,no,long_straight,yes,yes
4682064202_2847cb4a70_4025_47161876@N05_1.png,senior,white,brown,no,male,no,brown,no,short_straight,yes,yes
6044479346_aa9cda9893_6075_42572950@N03_1.png,senior,white,other,light_mustache,male,no,black,no,short_straight,no,yes
4660885583_061332d68c_4019_18386666@N00_1.png,early_adulthood,white,brown,no,male,no,brown,no,short_straight,yes,no
4751222520_301af0f2a6_4117_63484186@N00_12.png,adult,white,brown,no,female,no,black,no,short_straight,yes,no
5367204665_708c778f72_5246_10088890@N05_1.png,early_adulthood,white,other,no,female,no,red,no,short_straight,yes,no
4686440026_296ee3db0c_4068_9836216@N06_1.png,middle_aged,white,brown,no,female,eyeglasses,brown,no,long_straight,yes,yes
5939084216_215bffde95_6006_42572950@N03_1.png,retirement,white,blue,no,male,no,white,no,short_straight,no,yes
6070901071_e1e6dd13cf_6210_71606984@N00_1.png,middle_aged,white,brown,no,female,no,brown,no,long_curly,yes,yes
5804815624_775cace554_5302_40994485@N04_1.png,retirement,white,brown,no,male,no,other,cap,other,no,no
4670702611_17d65308b3_4042_50834997@N05_2.png,teenager,white,brown,no,male,no,white,no,other,no,yes
5215719138_533338a4bd_5203_10347082@N04_1.png,elderly,white,brown,no,female,no,white,no,short_straight,no,yes
6028235460_9186bfde61_6089_42572950@N03_1.png,senior,white,brown,no,female,no,white,no,long_straight,no,yes
4813640038_77bfb0fb3f_4082_84221632@N00_1.png,adult,white,brown,no,female,no,brown,no,long_straight,yes,yes
4837652796_8db32eb378_4087_35980144@N06_4.png,senior,white,other,no,male,eyeglasses,black,no,bald,yes,yes
6071446754_ff28ce242e_6076_71606984@N00_2.png,senior,white,blue,no,male,sunglasses,brown,no,short_straight,yes,yes
5460570510_c7b4a0ed94_5095_27525228@N08_2.png,early_adulthood,white,brown,no,male,no,brown,no,short_straight,no,yes
5578542112_62228e477f_5052_37933312@N04_1.png,senior,white,other,no,female,no,black,no,short_straight,yes,no
5212804793_51dfb90380_5083_9644743@N07_4.png,teenager,white,other,no,female,no,brown,no,long_straight,no,yes
4814038862_3befae95a5_4093_43475213@N07_1.png,middle_aged,white,other,no,male,no,black,no,short_straight,yes,yes
5327761182_416b9fc7f9_5165_35058601@N08_2.png,adult,white,brown,no,male,no,white,no,bald,yes,yes
5117486897_b2b15a890d_1248_36477443@N06_1.png,middle_aged,white,brown,no,male,eyeglasses,black,no,short_straight,no,yes
5196594036_ef1776cc60_4144_50517348@N05_4.png,middle_aged,white,brown,no,female,no,white,no,long_curly,yes,yes
4791087385_be85b34bc0_4097_40332606@N08_1.png,early_adulthood,white,brown,no,male,no,black,no,short_straight,yes,yes
5756233877_c3e7bd5469_5105_42572950@N03_1.png,adult,white,brown,thick_beard,male,no,black,no,short_straight,no,no
5531392087_fea0de2a14_5180_60386440@N05_3.png,middle_aged,white,blue,no,female,no,blonde,no,long_straight,yes,yes
4900933250_6c21564e54_4114_32347012@N05_1.png,early_adulthood,white,brown,no,female,no,brown,no,long_straight,yes,yes
5433208514_ca4e60020a_5217_48067292@N05_1.png,early_adulthood,white,brown,no,female,no,brown,no,long_straight,yes,yes
6070906375_220a653dfd_6203_71606984@N00_1.png,senior,white,brown,thick_beard,male,no,other,cap,other,yes,yes
5903845604_8773ca7b3c_5316_42572950@N03_2.png,senior,white,other,thick_mustache,male,no,black,no,short_straight,no,yes
5216747415_4def104c32_5084_10347082@N04_2.png,senior,white,brown,no,female,no,blonde,no,long_curly,no,no
4659658404_3d28e47d4b_4019_49637151@N04_1.png,early_adulthood,white,other,no,female,no,blonde,no,short_straight,yes,yes
5459899579_19ee3c662f_5215_27525228@N08_2.png,middle_aged,white,other,no,male,no,brown,no,short_straight,no,yes
5962488033_e57895b069_6029_42572950@N03_2.png,senior,white,blue,thick_beard,male,no,black,no,short_straight,no,yes
6071454940_06dd27d182_6067_71606984@N00_1.png,adult,white,brown,no,female,no,brown,no,long_straight,yes,yes
4665010830_9b23e7ea07_4025_48261539@N05_1.png,adult,white,brown,no,male,eyeglasses,brown,no,short_straight,no,yes
5219076118_89ac6542f5_4130_56302856@N06_2.png,middle_aged,white,brown,light_mustache,male,no,brown,no,short_curly,yes,no
5216722123_c4f6f9a797_5089_10347082@N04_1.png,retirement,white,brown,no,female,no,brown,no,long_curly,yes,yes
6071461086_896e298f78_6064_71606984@N00_1.png,early_adulthood,white,blue,no,female,no,blonde,no,short_straight,yes,yes
4850715223_368edfedbd_4095_51004170@N07_2.png,middle_aged,white,brown,no,female,no,brown,no,long_straight,yes,yes
5573935846_0ea2a77c83_5108_27849980@N08_2.png,teenager,white,brown,no,female,no,brown,no,long_curly,no,no
5242736821_2e94c2932c_5087_73488908@N00_2.png,middle_aged,white,green,light_mustache,male,no,black,no,short_straight,yes,yes
4685444876_dbe62c069e_1293_36281822@N08_2.png,adult,white,brown,no,male,no,other,cap,other,no,no
5531432045_760878c576_5251_58398011@N04_1.png,middle_aged,white,brown,thick_mustache,male,no,black,no,short_straight,yes,yes
4694650372_bc2396003f_1279_60443056@N00_1.png,middle_aged,white,other,no,male,sunglasses,black,no,short_straight,yes,yes
6024882660_412a68db6c_6144_42572950@N03_2.png,senior,white,brown,no,male,no,black,no,short_straight,no,yes
4664388416_6916bbc34d_4016_10016344@N04_2.png,middle_aged,white,other,no,female,sunglasses,white,no,short_straight,yes,yes
6868707039_a57279598b_7185_58053732@N08_2.png,teenager,white,brown,no,female,no,blonde,no,long_straight,yes,yes
6070903447_370ce63638_6088_71606984@N00_2.png,adult,white,brown,light_beard,male,no,other,no,bald,yes,yes
5557084927_eb2fb81803_5064_37933312@N04_1.png,senior,white,other,no,female,eyeglasses,brown,no,bald,no,no
6071450528_07ba864542_6191_71606984@N00_1.png,early_adulthood,white,brown,no,female,no,black,no,long_straight,yes,yes
5212775229_06eb77e421_5204_9644743@N07_2.png,senior,white,brown,no,female,eyeglasses,blonde,no,short_straight,yes,yes
4697766373_cb0f4c5012_4032_43475213@N07_1.png,middle_aged,white,brown,no,male,no,black,no,short_straight,yes,yes
4738298613_0164d36184_4082_51426299@N07_1.png,early_adulthood,white,brown,no,male,no,other,cap,other,no,no
4826367951_293528a318_4079_8074605@N08_1.png,retirement,white,blue,no,male,no,white,no,short_straight,no,yes
5433208332_b07b3b5385_5093_48067292@N05_1.png,adult,white,brown,no,male,no,brown,no,short_straight,no,yes
4748321554_e76d91b352_4138_40530677@N03_1.png,adult,white,brown,no,male,no,brown,no,short_straight,no,yes
5530057698_5f7d9c88cd_5218_59266120@N07_2.png,adult,white,brown,no,male,eyeglasses,brown,no,short_straight,no,yes
4906408784_26d4926be4_4095_53051618@N05_1.png,middle_aged,white,brown,no,male,eyeglasses,black,cap,other,yes,yes
5355735232_9870e3356e_5041_39178452@N08_1.png,adult,white,other,light_beard,male,eyeglasses,other,cap,other,no,yes
5504738799_6dddbd1dec_5218_60308464@N02_3.png,senior,white,brown,no,male,no,brown,no,short_straight,no,yes
5748414851_818e227368_3342_21227950@N00_2.png,adult,white,brown,light_beard,male,no,brown,no,short_curly,yes,yes
4741922419_8c04d455e9_4135_51324877@N05_2.png,senior,white,brown,no,male,no,white,no,short_straight,yes,yes
5004042281_41c80466b3_4144_43646345@N00_2.png,middle_aged,white,brown,no,female,no,black,no,long_straight,yes,yes
6070900293_52d1ce3fe5_6081_71606984@N00_2.png,retirement,white,brown,thick_mustache,male,no,blonde,cap,long_straight,yes,yes
4766856600_028fc0147f_4117_73932893@N00_1.png,senior,white,blue,no,female,no,blonde,no,short_straight,yes,yes
8482650817_b53fcba2db_8101_64287185@N02_2.png,teenager,white,other,no,female,eyeglasses,blonde,no,short_straight,no,yes
4751887565_52ab5b2691_4137_34956641@N03_3.png,adult,white,brown,no,male,no,brown,no,short_straight,yes,yes
5219079796_5afaf80375_5048_56302856@N06_4.png,early_adulthood,white,brown,no,female,no,blonde,no,long_straight,yes,yes
5399329377_9c2778b42b_5133_54048808@N00_1.png,early_adulthood,white,brown,thick_beard,male,no,blonde,no,short_straight,yes,yes
5249060761_98bafb0b71_5249_56514483@N05_3.png,middle_aged,white,brown,no,female,no,red,no,long_straight,yes,yes
4742613143_ee698cff46_4136_99907383@N00_1.png,adult,white,green,no,male,no,black,no,short_straight,yes,yes
8636084953_91dfd0b97a_8257_22167387@N03_1.png,early_adulthood,white,brown,no,male,no,black,no,short_straight,yes,yes
8640183924_f29e70c3de_8523_22167387@N03_1.png,middle_aged,white,brown,no,male,no,other,cap,other,no,no
4988673301_14ce711499_4083_50517348@N05_4.png,adult,white,green,no,female,eyeglasses,blonde,no,long_straight,no,yes
5125984889_e929bc659b_1198_7696276@N02_2.png,early_adulthood,white,brown,no,female,no,black,no,short_straight,yes,yes
4970039149_c0acd17c7d_4087_50517348@N05_1.png,teenager,white,brown,no,male,no,blonde,no,short_curly,yes,yes
4988673301_14ce711499_4083_50517348@N05_1.png,middle_aged,white,other,no,male,eyeglasses,brown,no,short_straight,no,yes
5996057444_453f1602f6_6001_42572950@N03_8.png,senior,white,brown,light_goatee,male,eyeglasses,brown,no,bald,no,yes
6071451712_89186c8a5e_6185_71606984@N00_2.png,early_adulthood,white,brown,no,female,no,brown,no,short_straight,yes,yes
4739907465_7a5fd44c7e_4134_43475213@N07_1.png,early_adulthood,white,brown,no,male,no,other,cap,other,no,no
5245642663_64ef6fe121_5203_41302121@N05_1.png,senior,white,brown,thick_mustache,male,no,black,no,short_straight,no,yes
4664388416_6916bbc34d_4016_10016344@N04_1.png,adult,white,other,no,female,no,blonde,no,short_straight,yes,yes
5372596346_e5f8fb3310_5207_25134914@N06_1.png,middle_aged,white,brown,no,female,no,brown,no,long_straight,no,yes
4843517263_dbccc86321_4089_40400677@N02_3.png,senior,white,brown,no,female,eyeglasses,black,no,short_curly,yes,yes
4688362616_65e2338062_4008_36281822@N08_1.png,adult,white,brown,no,male,no,other,cap,other,no,no
5363685592_75ab049f29_5161_25552614@N08_4.png,senior,white,other,light_mustache,male,no,white,cap,short_straight,no,yes
4734223806_9bd010b3c1_1202_38230660@N08_1.png,early_adulthood,white,brown,no,male,no,black,no,short_straight,no,yes
4834683992_7d80d81fe4_4154_9691418@N02_3.png,senior,white,brown,no,female,no,brown,no,short_straight,yes,yes
5606768580_2e4727fc96_5268_43188191@N08_1.png,early_adulthood,white,brown,no,female,no,brown,no,long_straight,no,yes
5684328449_899f2eb464_5225_44399423@N02_1.png,early_adulthood,white,brown,light_mustache,male,no,black,no,short_straight,no,no
6070902455_c7875bae3a_6208_71606984@N00_1.png,middle_aged,white,brown,no,female,no,black,no,short_straight,no,yes
5127934885_62594403b1_4090_53144842@N08_2.png,early_adulthood,white,brown,no,male,no,black,no,short_curly,yes,yes
5179655961_2e74a20233_4108_43296220@N02_5.png,middle_aged,white,other,no,male,no,black,no,short_straight,yes,no
5484714677_60a9735c74_5135_44785164@N03_7.png,middle_aged,white,other,no,male,no,brown,no,short_straight,no,yes
4685766476_ae2ff6cb1e_4032_48158701@N02_2.png,early_adulthood,white,brown,no,male,no,brown,no,short_curly,yes,yes
5464874310_72823b7ec2_5171_77106137@N00_1.png,middle_aged,white,brown,no,female,no,brown,no,long_straight,no,yes
4989290780_2481ed445b_4085_50517348@N05_2.png,adult,white,brown,no,female,no,brown,no,long_straight,no,yes
4666051285_7ed3a7b663_4059_50800775@N02_1.png,kid,white,brown,no,female,no,brown,no,long_straight,no,yes
4989284080_907f936246_4087_50517348@N05_3.png,middle_aged,white,brown,no,female,no,blonde,no,long_curly,no,yes
4743087821_cc196b344a_4082_42097176@N06_1.png,retirement,white,blue,no,male,eyeglasses,white,no,short_straight,yes,yes
4762107701_60e4686351_4142_43475213@N07_1.png,early_adulthood,white,blue,no,male,no,other,cap,other,no,no
5468113008_8b467f36bf_5258_45204851@N02_1.png,early_adulthood,white,brown,no,male,no,black,no,short_straight,yes,yes
5577900737_9c4b67c6a1_5138_37933312@N04_1.png,early_adulthood,white,brown,no,female,no,brown,no,short_straight,no,yes
5522416658_47f4105150_5300_25175267@N00_2.png,elderly,white,brown,no,male,eyeglasses,brown,no,short_straight,yes,yes
4964270075_709c8c52ab_4152_29050622@N03_1.png,retirement,white,brown,no,male,sunglasses,brown,no,short_straight,yes,yes
5578483606_b7e85f7ae7_5265_37933312@N04_4.png,middle_aged,white,other,no,male,no,blonde,no,short_straight,yes,yes
4819387489_d61957a06c_4101_11815758@N00_2.png,senior,white,brown,thick_beard,male,eyeglasses,white,no,short_straight,yes,yes
4693688397_2224232fda_4038_29456680@N06_9.png,middle_aged,white,brown,light_goatee,male,no,black,no,short_straight,yes,yes
4838991506_c5c090768c_4124_84221632@N00_1.png,adult,white,brown,no,female,eyeglasses,brown,no,long_straight,yes,no
5213403720_f48fa6cb54_4103_9644743@N07_1.png,retirement,white,brown,no,male,no,white,no,bald,no,yes
5152195104_4e67f463c7_4153_53728382@N05_1.png,early_adulthood,white,brown,no,male,no,black,cap,other,no,yes
5924533985_1c4efef73e_6123_42572950@N03_2.png,early_adulthood,white,other,no,female,no,brown,no,long_straight,yes,yes
5810167710_98ccb226c9_5314_35067687@N04_4.png,elderly,white,other,no,male,eyeglasses,white,no,short_straight,no,yes
6071445576_bb0cc91f19_6208_71606984@N00_2.png,early_adulthood,white,blue,no,male,no,brown,no,short_straight,yes,no
6070908993_c93544bcde_6186_71606984@N00_4.png,middle_aged,white,brown,no,female,no,black,no,long_straight,yes,yes
5212757451_96167c74dd_5201_9644743@N07_2.png,early_adulthood,white,brown,no,female,no,black,no,long_curly,yes,yes
6031202618_26c2efd5f5_6138_42572950@N03_1.png,retirement,white,brown,light_goatee,male,eyeglasses,white,no,short_straight,no,yes
4837652796_8db32eb378_4087_35980144@N06_5.png,middle_aged,white,other,no,female,eyeglasses,black,no,long_straight,no,yes
5145197651_9b0a8f6e14_4018_50512642@N06_1.png,early_adulthood,white,brown,no,male,no,blonde,cap,long_straight,yes,no
5822871220_f514a2747b_2301_21117491@N03_1.png,adult,white,other,no,male,no,brown,no,short_straight,yes,yes
4659658404_3d28e47d4b_4019_49637151@N04_2.png,early_adulthood,white,other,no,female,no,blonde,no,long_straight,yes,no
5274896297_186d744f85_5282_16883154@N00_2.png,middle_aged,white,other,no,male,no,white,no,short_straight,yes,no
4697722530_e511ce172b_4006_27254359@N05_3.png,adult,white,other,light_mustache,male,no,brown,no,short_straight,no,yes
6038365621_9845c0601c_6139_87039642@N00_1.png,early_adulthood,white,brown,no,female,no,black,no,long_straight,yes,yes
4733586839_0431d754fb_1111_38230660@N08_1.png,early_adulthood,white,brown,no,male,no,brown,no,short_straight,yes,yes
5367202631_8751f91f22_5202_10088890@N05_4.png,middle_aged,white,other,no,female,no,red,no,long_straight,yes,yes
5577900531_2fba44d9a3_5221_37933312@N04_3.png,middle_aged,white,brown,no,male,no,brown,no,short_straight,yes,yes
5300249984_aa00ee2b90_5288_48067292@N05_1.png,early_adulthood,white,other,no,female,no,black,no,long_straight,no,yes
5118080687_892eb0ea16_4085_50189196@N06_1.png,middle_aged,white,other,no,male,no,brown,no,short_straight,yes,yes
5577899437_179afa9f91_5020_37933312@N04_2.png,middle_aged,white,brown,light_goatee,male,no,brown,no,short_straight,yes,yes
5432597371_7eec389042_5297_48067292@N05_1.png,early_adulthood,white,other,no,female,no,brown,no,long_straight,no,yes
4702497970_c3f0280b3b_1287_8205932@N04_1.png,middle_aged,white,brown,no,female,eyeglasses,brown,no,short_curly,no,yes
4680172515_bd3ac33eda_4045_15194355@N02_1.png,middle_aged,white,brown,no,female,no,black,no,long_straight,yes,yes
4738525433_d2cc79d37c_4120_84222107@N00_1.png,middle_aged,white,brown,no,male,no,black,no,short_straight,yes,yes
4720278262_f794836651_4071_51342642@N06_1.png,middle_aged,white,blue,no,male,no,brown,no,short_straight,yes,yes
4751204476_1176cbffb4_4136_63484186@N00_1.png,adult,white,brown,no,female,no,brown,turban,other,yes,no
5415982976_555bbf0c7a_5177_30949767@N05_2.png,middle_aged,white,brown,no,male,no,blonde,no,short_straight,yes,yes
6070918069_273cde9790_6090_71606984@N00_2.png,middle_aged,white,brown,no,female,no,brown,no,long_curly,yes,yes
5531789204_2f18e10efc_5020_42831510@N00_1.png,early_adulthood,white,other,no,female,no,other,cap,other,no,no
5536217970_1474f0742e_5255_42572950@N03_1.png,senior,white,other,no,female,no,brown,no,short_straight,yes,yes
5413541931_31fbaf4380_5292_34804794@N06_1.png,early_adulthood,white,brown,no,female,no,black,no,long_straight,yes,yes
4988680471_b0d6236e96_4133_50517348@N05_1.png,teenager,white,brown,no,male,no,other,turban,other,no,yes
4989286906_b65b9d4755_4091_50517348@N05_1.png,adult,white,green,no,female,eyeglasses,blonde,no,short_straight,yes,yes
5212796077_7b56dc9f63_5166_9644743@N07_3.png,early_adulthood,white,brown,no,female,no,brown,no,short_straight,yes,no
5647563084_fd06468456_5145_62064717@N05_2.png,early_adulthood,white,brown,no,male,no,black,no,short_straight,yes,yes
4681131390_b764bab387_4008_49153134@N06_1.png,middle_aged,white,other,no,female,sunglasses,brown,no,long_straight,yes,yes
4750609365_11b1bf5057_4099_63484186@N00_2.png,elderly,white,other,no,male,eyeglasses,white,no,short_straight,no,yes
4699236901_000087c43c_4044_53326337@N00_1.png,adult,white,brown,thick_beard,male,eyeglasses,black,no,short_straight,yes,yes
4999454920_35f873b800_4090_52610631@N04_4.png,early_adulthood,white,other,no,female,no,blonde,turban,short_straight,yes,yes
6070905063_b30ffb3b17_6187_71606984@N00_1.png,early_adulthood,white,brown,thick_goatee,male,no,brown,no,short_straight,yes,yes
5200728159_a1b74f9bcf_5246_28784222@N08_1.png,early_adulthood,white,brown,no,male,no,brown,no,short_straight,no,yes
5516829773_b4fbb77b40_5133_59939844@N03_2.png,retirement,white,brown,light_mustache,male,eyeglasses,brown,no,short_curly,no,yes
5812025650_7035e731aa_3187_42572950@N03_1.png,adult,white,other,light_mustache,male,no,black,no,short_straight,no,yes
4690238141_21859d88e5_4053_71597211@N00_7.png,middle_aged,white,other,no,male,no,other,cap,other,no,yes
4764107187_634a0e87d7_4121_45031007@N07_1.png,early_adulthood,white,other,no,male,no,other,cap,other,no,yes
5474718839_3ba3737a42_5252_53325802@N03_2.png,early_adulthood,white,other,no,male,no,brown,no,bald,yes,yes
8303590145_4bbc44d3bc_8504_44425842@N00_3.png,senior,white,other,no,male,no,black,no,short_straight,no,yes
4717894994_d41f163793_4056_8327766@N08_1.png,early_adulthood,white,other,no,male,sunglasses,brown,no,short_straight,no,yes
5124383903_2ec0e1e04d_4038_45551519@N07_2.png,middle_aged,white,other,no,male,no,brown,no,short_straight,yes,yes
4678825957_d6658265ce_4065_26795346@N00_2.png,kid,white,brown,no,male,no,blonde,no,short_straight,no,yes
5367204665_708c778f72_5246_10088890@N05_2.png,middle_aged,white,brown,no,male,no,brown,no,short_straight,yes,yes
5626355243_194a90586b_5061_55262731@N02_1.png,adult,white,brown,no,male,no,black,no,short_straight,no,yes
5245651443_d6161728b2_5168_41302121@N05_1.png,senior,white,brown,no,female,no,brown,no,short_straight,yes,yes
4804781038_78b3708722_4078_47242743@N07_1.png,senior,white,other,no,male,sunglasses,other,no,other,yes,yes
5577900531_2fba44d9a3_5221_37933312@N04_4.png,middle_aged,white,brown,no,male,no,brown,no,short_straight,yes,yes
5441799826_b41de4a23c_5217_75714412@N00_2.png,senior,white,other,light_goatee,male,eyeglasses,brown,no,short_straight,yes,yes
5274939955_51b1d89ce7_5164_16883154@N00_1.png,middle_aged,white,brown,thick_mustache,male,no,black,no,long_straight,yes,yes
4756875211_59b702b045_4135_27852803@N05_3.png,teenager,white,brown,light_mustache,male,no,black,no,short_straight,yes,yes
4826977674_9c9f5e12ee_4122_8074605@N08_1.png,middle_aged,white,brown,thick_beard,male,eyeglasses,brown,cap,short_straight,yes,yes
4666597711_b762faf973_1299_39944889@N02_2.png,adult,white,brown,no,male,no,brown,no,short_straight,no,yes
5285678924_8cb1592f91_5087_71367872@N00_2.png,middle_aged,white,brown,no,female,no,brown,no,short_straight,yes,yes
5787459980_3a40b9c986_5067_40298603@N03_1.png,adult,white,brown,thick_mustache,male,eyeglasses,brown,no,short_straight,no,yes
6109599241_b5f9746e26_6089_82075546@N00_1.png,senior,white,other,no,female,no,white,no,long_straight,yes,yes
4995100309_b2b1ff9741_4091_96533977@N00_1.png,adult,white,brown,light_mustache,male,sunglasses,brown,cap,bald,no,yes
5849606949_0c97c10122_3033_64237073@N06_2.png,teenager,white,brown,no,male,no,black,no,short_straight,no,yes
5504306823_b2d57db949_5133_36179078@N03_2.png,early_adulthood,white,brown,no,female,no,brown,no,long_straight,yes,yes
4724351396_275bc51e99_1264_48067292@N05_1.png,senior,white,other,no,male,eyeglasses,white,no,bald,no,yes
6344124541_1b64fc3db1_6101_87039642@N00_1.png,early_adulthood,white,brown,no,female,no,brown,no,long_straight,yes,yes
4789902447_f0f06530c2_4120_45433522@N02_4.png,kid,white,brown,no,male,no,brown,no,short_curly,yes,yes
5387344754_02d9076e76_5215_58775229@N08_1.png,early_adulthood,white,brown,no,male,no,brown,no,short_straight,yes,yes
5557260543_561250f5c7_5294_37933312@N04_3.png,adult,white,brown,no,male,no,black,no,short_straight,no,yes
4817441066_4cc69d30a8_4101_49045206@N03_1.png,middle_aged,white,brown,light_beard,male,eyeglasses,black,no,bald,no,yes
5635634302_3e3133b544_5109_85844158@N00_2.png,teenager,white,brown,no,female,no,blonde,no,long_straight,yes,yes
5399354891_e367d70bda_5091_54048808@N00_2.png,early_adulthood,white,other,thick_goatee,male,no,brown,no,short_straight,yes,yes
4948087104_38e90d5475_4098_8277796@N08_1.png,middle_aged,white,brown,light_beard,male,no,black,no,short_straight,yes,yes
5243817905_25372c604a_5245_56872491@N08_3.png,early_adulthood,white,brown,no,male,no,brown,no,short_straight,yes,yes
5215396171_765786b221_5043_10347082@N04_1.png,middle_aged,white,brown,no,female,no,black,no,short_curly,yes,yes
4811215779_6203449233_4093_51309935@N08_1.png,early_adulthood,white,other,thick_mustache,female,no,black,no,short_curly,no,yes
6070908141_65711cd440_6197_71606984@N00_1.png,middle_aged,white,brown,no,male,no,brown,no,short_straight,yes,no
4702949722_c2790f79b9_1281_26740943@N07_1.png,middle_aged,white,brown,no,male,no,brown,no,short_straight,yes,no
4793414349_8d4ff80466_4100_58778889@N00_1.png,senior,white,brown,no,female,no,brown,no,short_curly,yes,yes
4681501408_3225852cd6_1300_50839919@N06_2.png,senior,white,other,no,female,no,other,no,short_straight,yes,yes
5217323106_04824b347e_5284_10347082@N04_1.png,adult,white,brown,no,male,no,black,no,short_straight,no,yes
5214011419_a6ee6c8747_5243_36903271@N06_1.png,early_adulthood,white,other,no,female,no,black,no,long_curly,yes,yes
7243498576_72a4baed6e_7082_72132747@N00_1.png,early_adulthood,white,green,no,female,no,brown,no,long_straight,yes,yes
5188805755_8902104885_1034_46421347@N00_3.png,early_adulthood,white,brown,light_goatee,male,no,black,no,short_straight,yes,yes
5195966197_c21db65011_4149_50517348@N05_1.png,early_adulthood,white,other,no,female,sunglasses,brown,no,long_straight,yes,yes
4744928475_bbc9ccf974_4098_41126826@N05_1.png,senior,white,brown,light_mustache,male,no,blonde,no,bald,no,yes
5504738799_6dddbd1dec_5218_60308464@N02_1.png,middle_aged,white,brown,no,male,no,white,no,short_straight,yes,no
5783460033_7e32e6c7d8_2729_43337282@N02_4.png,early_adulthood,white,other,no,male,sunglasses,black,no,short_straight,no,yes
5366763740_18780183d3_5205_45204851@N02_2.png,middle_aged,white,other,no,male,no,white,no,short_straight,yes,yes
5334106514_222faf8bcf_5001_49049659@N05_1.png,kid,white,brown,no,female,no,brown,no,long_curly,yes,yes
4658582734_1972b7a35a_1279_49642228@N00_3.png,adult,white,other,no,male,no,other,no,short_straight,yes,yes
